epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5662,0.43462,0.37387,0.85659,0.88816,0.6376,0.7213,0.66126,0.48027,1.07065,0.83452,0.00023,0.00023,0.00023
2,43.5494,0.42798,0.36128,0.85232,0.82143,0.62076,0.64443,0.5841,0.50644,1.06279,0.84483,0.000465347,0.000465347,0.000465347
3,54.6598,0.45446,0.39537,0.86538,0.81854,0.67188,0.67088,0.60885,0.5325,1.0637,0.87331,0.000695942,0.000695942,0.000695942
4,68.2854,0.4622,0.43714,0.85385,0.74073,0.54413,0.61404,0.54889,0.55585,1.23483,0.87408,0.000921785,0.000921785,0.000921785
5,78.7277,0.45647,0.46265,0.85971,0.83152,0.58077,0.62969,0.56689,0.52764,1.28473,0.85986,0.0009604,0.0009604,0.0009604
6,92.9483,0.47344,0.45301,0.86316,0.58128,0.52143,0.59324,0.53176,0.55953,1.26455,0.88375,0.0009505,0.0009505,0.0009505
7,102.406,0.50352,0.47939,0.88127,0.85282,0.49334,0.59172,0.5293,0.54099,1.29728,0.86902,0.0009406,0.0009406,0.0009406
8,116.423,0.50227,0.46787,0.8702,0.8655,0.54952,0.61688,0.54933,0.55311,1.31477,0.88646,0.0009307,0.0009307,0.0009307
9,126.075,0.52589,0.47154,0.87618,0.79358,0.51615,0.55636,0.49164,0.56022,1.4679,0.87688,0.0009208,0.0009208,0.0009208
10,139.613,0.50735,0.4885,0.87774,0.61215,0.6001,0.64169,0.57385,0.53434,1.22563,0.86339,0.0009109,0.0009109,0.0009109
11,150.078,0.47433,0.46738,0.88038,0.8425,0.63823,0.66938,0.60281,0.53387,1.15955,0.86314,0.000901,0.000901,0.000901
12,163.185,0.48644,0.47842,0.8836,0.62399,0.56646,0.60902,0.54101,0.52763,1.21391,0.86027,0.0008911,0.0008911,0.0008911
13,175.059,0.47418,0.48433,0.86026,0.43914,0.58471,0.53153,0.47194,0.52693,1.47229,0.87136,0.0008812,0.0008812,0.0008812
14,186.912,0.49653,0.48598,0.87746,0.7431,0.53942,0.60304,0.54293,0.55693,1.29923,0.86702,0.0008713,0.0008713,0.0008713
15,199.692,0.48353,0.47083,0.86247,0.76261,0.58361,0.63723,0.56405,0.53965,1.15806,0.87629,0.0008614,0.0008614,0.0008614
16,210.32,0.48264,0.45577,0.86189,0.75819,0.59204,0.61721,0.55369,0.55928,1.39063,0.8896,0.0008515,0.0008515,0.0008515
17,224.541,0.45953,0.42002,0.86837,0.79362,0.54917,0.64631,0.58893,0.52423,1.29393,0.85745,0.0008416,0.0008416,0.0008416
18,234.174,0.46519,0.46666,0.86484,0.77368,0.6328,0.65793,0.59765,0.51668,1.35102,0.84369,0.0008317,0.0008317,0.0008317
19,248.556,0.49834,0.48984,0.87607,0.67928,0.66727,0.65481,0.58245,0.52228,1.26979,0.85229,0.0008218,0.0008218,0.0008218
20,257.881,0.48101,0.47436,0.87052,0.82132,0.4816,0.65086,0.58753,0.55603,1.31396,0.86807,0.0008119,0.0008119,0.0008119
21,274.196,0.51814,0.46226,0.88576,0.54653,0.73488,0.63399,0.56418,0.58204,1.41768,0.89358,0.000802,0.000802,0.000802
22,286.165,0.4891,0.46619,0.87791,0.84631,0.63608,0.64177,0.57876,0.55898,1.13985,0.88363,0.0007921,0.0007921,0.0007921
23,300.689,0.48138,0.44092,0.85801,0.76053,0.58476,0.58813,0.52714,0.54893,1.29759,0.87868,0.0007822,0.0007822,0.0007822
24,310.384,0.49075,0.46172,0.88558,0.79297,0.60205,0.62004,0.55938,0.51498,1.25575,0.8571,0.0007723,0.0007723,0.0007723
25,324.342,0.47967,0.43451,0.86908,0.82036,0.55526,0.61898,0.55411,0.52406,1.13501,0.84868,0.0007624,0.0007624,0.0007624
26,335.817,0.47856,0.43769,0.86892,0.83125,0.57095,0.67456,0.60753,0.53154,1.05501,0.86132,0.0007525,0.0007525,0.0007525
27,347.914,0.47474,0.40943,0.86714,0.80119,0.60268,0.67992,0.6004,0.50748,1.17612,0.85292,0.0007426,0.0007426,0.0007426
28,360.933,0.4676,0.42101,0.87463,0.76599,0.54615,0.69065,0.60347,0.52886,1.29317,0.8615,0.0007327,0.0007327,0.0007327
29,372.121,0.49327,0.43058,0.88123,0.76439,0.59715,0.68161,0.60515,0.54199,1.19121,0.85275,0.0007228,0.0007228,0.0007228
30,385.603,0.45769,0.3838,0.86104,0.84938,0.62249,0.68947,0.61914,0.5414,1.08578,0.86824,0.0007129,0.0007129,0.0007129
31,395.089,0.47378,0.45153,0.87635,0.85562,0.59476,0.69147,0.61649,0.51944,1.02768,0.8605,0.000703,0.000703,0.000703
32,409.545,0.48411,0.43169,0.86585,0.83776,0.65627,0.70641,0.62793,0.54337,1.04016,0.85856,0.0006931,0.0006931,0.0006931
33,419.044,0.47113,0.40848,0.87086,0.87029,0.61061,0.66805,0.59997,0.53583,1.09435,0.86015,0.0006832,0.0006832,0.0006832
34,433.557,0.46888,0.40717,0.8706,0.82207,0.62731,0.68226,0.60416,0.5324,1.11908,0.86788,0.0006733,0.0006733,0.0006733
35,444.278,0.47058,0.40399,0.8862,0.85972,0.59738,0.74899,0.65559,0.53646,1.16438,0.86602,0.0006634,0.0006634,0.0006634
36,457.429,0.45926,0.40043,0.86568,0.77675,0.62901,0.6889,0.61402,0.57207,1.16008,0.88217,0.0006535,0.0006535,0.0006535
37,468.775,0.45266,0.38777,0.85254,0.80818,0.58153,0.69177,0.61897,0.54669,1.16189,0.86801,0.0006436,0.0006436,0.0006436
38,480.272,0.49095,0.40565,0.88463,0.82191,0.66488,0.66457,0.59956,0.56789,1.05981,0.87725,0.0006337,0.0006337,0.0006337
39,493.162,0.4494,0.36543,0.8548,0.88424,0.66056,0.6931,0.62257,0.53428,0.9675,0.86389,0.0006238,0.0006238,0.0006238
40,504.719,0.47345,0.38103,0.87953,0.70351,0.64753,0.67954,0.61248,0.54034,1.10696,0.87779,0.0006139,0.0006139,0.0006139
41,518.279,0.44586,0.38013,0.85105,0.8107,0.63318,0.66557,0.60083,0.56604,1.06507,0.88644,0.000604,0.000604,0.000604
42,528.099,0.46102,0.38308,0.8745,0.90762,0.66889,0.69318,0.62758,0.54657,1.03299,0.87773,0.0005941,0.0005941,0.0005941
43,542.728,0.43959,0.36463,0.85751,0.88315,0.62569,0.66774,0.61663,0.50936,1.03275,0.86495,0.0005842,0.0005842,0.0005842
44,552.252,0.46467,0.38924,0.87477,0.89598,0.65198,0.66347,0.60368,0.50844,1.07808,0.85809,0.0005743,0.0005743,0.0005743
45,567.007,0.43904,0.36525,0.85614,0.84142,0.66614,0.70131,0.63378,0.50351,1.0482,0.85497,0.0005644,0.0005644,0.0005644
